year,month,country,category,value_rupee,value_usd,currency,unit,note
2023,September,Australia,Export,383501.95,461.62,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2023,September,Australia,Import,907888.25,1093.19,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2023,September,Australia,Trade Balance,-524386.3,-631.57,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2023,September,Bangladesh,Export,721952.5,869.14,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2023,September,Bangladesh,Import,134493.6,161.92,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2023,September,Bangladesh,Trade Balance,587458.9,707.22,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2023,September,Belgium,Export,547203.73,658.84,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2023,September,Belgium,Import,445763.97,536.66,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2023,September,Belgium,Trade Balance,101439.76,122.18,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2023,September,Brazil,Export,352154.01,423.94,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2023,September,Brazil,Import,395932.98,476.75,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2023,September,Brazil,Trade Balance,-43778.97,-52.81,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2023,September,China,Export,1085859.81,1307.4,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2023,September,China,Import,7002467.24,8431.63,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2023,September,China,Trade Balance,-5916607.43,-7124.23,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2023,September,France,Export,558871.41,672.83,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2023,September,France,Import,357068.5,429.88,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2023,September,France,Trade Balance,201802.91,242.95,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2023,September,Germany,Export,644526.17,775.98,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
