year,bill_number,amendment_act,bill_type,introduced_member,introduced_date,introduced_house,debate/passed_in_loksabha,debate/passed_in_rajyasabha,assent_date,status,prime_minister,loksabha,loksabha_term
2023,124,"The Constitution (One Hundred and Twenty-Eighth Amendment) Bill, 2023",Government,,19-09-2023,Lok Sabha,20-09-2023,21-09-2023,28-09-2023,Assented,Narendra Modi,17,2019-24
2021,124,"The Constitution (One Hundred and Fifth Amendment) Bill, 2021",Government,,09-08-2021,Lok Sabha,10-08-2021,11-08-2021,18-08-2021,Assented,Narendra Modi,17,2019-24
2019,371,"The Constitution (One Hundred and Fourth Amendment) Bill, 2019",Government,,09-12-2019,Lok Sabha,10-12-2019,12-12-2019,21-01-2020,Assented,Narendra Modi,17,2019-24
2019,3,"The Constitution (One Hundred and Third Amendment) Act, 2019",Government,,08-01-2019,Lok Sabha,08-01-2019,09-01-2019,12-01-2019,Assented,Narendra Modi,16,2014-19
2017,71,"The Constitution (One Hundred and Second Amendment) Bill, 2018",Government,,05-04-2017,Lok Sabha,10-04-2017,31-07-2018,11-08-2018,Assented,Narendra Modi,16,2014-19
2015,2,"The Constitution (Amendment) Bill, 2015 (amendment of article 58)",Private Member,Mansukh L. Mandaviya Shri,13-03-2015,Rajya Sabha,,,,Lapsed,Narendra Modi,16,2014-19
2014,97,"The Constitution (Ninety-ninth Amendment) Bill, 2014",Government,,11-08-2014,Lok Sabha,13-08-2014,14-08-2014,31-12-2014,Assented,Narendra Modi,16,2014-19
2014,192,"The Constitution (One Hundred and Twenty-Second Amendment) Bill, 2014",Government,,19-12-2014,Lok Sabha,06-05-2015,03-08-2016,09-09-2016,Assented,Narendra Modi,16,2014-19
2014,14,"The Constitution (Amendment) Bill, 2014 (amendment of article 324)",Private Member,Shantaram Naik Shri,25-07-2014,Rajya Sabha,,,,Lapsed,Narendra Modi,16,2014-19
2014,18,"The Constitution (Amendment) Bill, 2014 (amendment of article 151)",Private Member,T. Subbarami Reddy Dr.,08-08-2014,Rajya Sabha,,,,Lapsed,Narendra Modi,16,2014-19
2014,25,"The Constitution (Amendment) Bill, 2014 (amendment of article 371)",Private Member,Rajkumar Dhoot Shri,28-11-2014,Rajya Sabha,,,,Lapsed,Narendra Modi,16,2014-19
2014,29,"The Constitution (Amendment) Bill, 2014 (amendment of article 130)",Private Member,Mansukh L. Mandaviya Shri,28-11-2014,Rajya Sabha,,,,Lapsed,Narendra Modi,16,2014-19
2014,30,"The Constitution (Amendment) Bill, 2014 (amendment of article 155)",Private Member,Mansukh L. Mandaviya Shri,28-11-2014,Rajya Sabha,,,,Lapsed,Narendra Modi,16,2014-19
2014,31,"The Constitution (Amendment) Bill, 2014 (amendment of article 107)",Private Member,Mansukh L. Mandaviya Shri,28-11-2014,Rajya Sabha,,,,Lapsed,Narendra Modi,16,2014-19
2014,33,"The Constitution (Amendment) Bill, 2014 (amendment of Tenth Schedule)",Private Member,Shantaram Naik Shri,12-12-2014,Rajya Sabha,,,,Lapsed,Narendra Modi,16,2014-19
2014,37,"The Constitution (Amendment) Bill, 2014 (amendment of article 39)",Private Member,Sanjay Sinh Dr.,12-12-2014,Rajya Sabha,,,,Lapsed,Narendra Modi,16,2014-19
2014,38,"The Constitution (Amendment) Bill, 2014 (amendment of article 214)",Private Member,Sanjay Sinh Dr.,12-12-2014,Rajya Sabha,,,,Lapsed,Narendra Modi,16,2014-19
2014,47,"The Constitution (Amendment) Bill, 2014 (amendment of article 275)",Private Member,Kanwar Deep Singh Dr.,12-12-2014,Rajya Sabha,,,,Lapsed,Narendra Modi,16,2014-19
