fiscal_year,country,category,value_rupee,value_usd,currency,unit,note
2023-24,Afghanistan,Export,122972.9,149.18,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2023-24,Afghanistan,Import,140907.78,171.09,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2023-24,Afghanistan,Trade Balance,-17934.88,-21.91,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2023-24,Albania,Export,498699.52,604.96,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2023-24,Albania,Import,1883.04,2.27,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2023-24,Albania,Trade Balance,496816.48,602.69,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2023-24,Algeria,Export,262407.26,318.52,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2023-24,Algeria,Import,118166.19,143.63,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2023-24,Algeria,Trade Balance,144241.07,174.89,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2023-24,All Countries,Export,145755009.5,177020.87,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2023-24,All Countries,Import,225050184.8,273358.68,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2023-24,All Countries,Trade Balance,-79295175.32,-96337.81,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2023-24,American Samoa,Export,622.89,0.75,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2023-24,American Samoa,Import,7092.06,8.63,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2023-24,American Samoa,Trade Balance,-6469.17,-7.88,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2023-24,Andorra,Export,188.09,0.23,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2023-24,Andorra,Import,39.07,0.04,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2023-24,Andorra,Trade Balance,149.02,0.19,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2023-24,Angola,Export,174584.25,211.97,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2023-24,Angola,Import,893907.58,1086.3,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2023-24,Angola,Trade Balance,-719323.33,-874.33,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2023-24,Anguilla,Export,38.04,0.04,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2023-24,Anguilla,Import,133.8,0.16,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2023-24,Anguilla,Trade Balance,-95.76,-0.12,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2023-24,Antarctica,Export,211.08,0.25,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2023-24,Antarctica,Import,369.89,0.45,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2023-24,Antarctica,Trade Balance,-158.81,-0.2,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2023-24,Antigua And Barbuda,Export,8913.95,10.84,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2023-24,Antigua And Barbuda,Import,267.04,0.32,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2023-24,Antigua And Barbuda,Trade Balance,8646.91,10.52,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2023-24,Argentina,Export,350280.13,425.64,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2023-24,Argentina,Import,1088093.03,1322.05,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2023-24,Argentina,Trade Balance,-737812.9,-896.41,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2023-24,Armenia,Export,37224.98,45.2,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2023-24,Armenia,Import,19605.66,23.78,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2023-24,Armenia,Trade Balance,17619.32,21.42,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2023-24,Aruba,Export,6318.17,7.64,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2023-24,Aruba,Import,261.61,0.32,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2023-24,Aruba,Trade Balance,6056.56,7.32,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2023-24,Australia,Export,3653919.85,4436.34,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2023-24,Australia,Import,5937649,7210.27,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2023-24,Australia,Trade Balance,-2283729.15,-2773.93,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2023-24,Austria,Export,342867.02,416.25,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2023-24,Austria,Import,284272.14,345.11,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2023-24,Austria,Trade Balance,58594.88,71.14,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2023-24,Azerbaijan,Export,27387.64,33.16,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2023-24,Azerbaijan,Import,381.4,0.44,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2023-24,Azerbaijan,Trade Balance,27006.24,32.72,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2023-24,Bahamas,Export,4737.34,5.72,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2023-24,Bahamas,Import,7150.58,8.66,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2023-24,Bahamas,Trade Balance,-2413.24,-2.94,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2023-24,Bahrain,Export,198806.96,241.12,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2023-24,Bahrain,Import,210195,255.34,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2023-24,Bahrain,Trade Balance,-11388.04,-14.22,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2023-24,Bangladesh,Export,3436375.19,4173.48,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2023-24,Bangladesh,Import,671871.95,816.09,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2023-24,Bangladesh,Trade Balance,2764503.24,3357.39,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2023-24,Barbados,Export,6081.99,7.34,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2023-24,Barbados,Import,1100.29,1.33,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2023-24,Barbados,Trade Balance,4981.7,6.01,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2023-24,Belarus,Export,14677.11,17.81,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2023-24,Belarus,Import,3936.94,4.78,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2023-24,Belarus,Trade Balance,10740.17,13.03,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2023-24,Belgium,Export,2936620.75,3566.4,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2023-24,Belgium,Import,2665245.46,3237.57,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2023-24,Belgium,Trade Balance,271375.29,328.83,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2023-24,Belize,Export,5019.14,6.09,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2023-24,Belize,Import,134.37,0.16,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2023-24,Belize,Trade Balance,4884.77,5.93,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2023-24,Benin,Export,397168.44,482.29,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2023-24,Benin,Import,41351.02,50.12,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2023-24,Benin,Trade Balance,355817.42,432.17,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2023-24,Bermuda,Export,1968.73,2.32,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2023-24,Bermuda,Import,0,0,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2023-24,Bermuda,Trade Balance,1968.73,2.32,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2023-24,Bhutan,Export,319837.51,387.71,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2023-24,Bhutan,Import,127919.27,155.22,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2023-24,Bhutan,Trade Balance,191918.24,232.49,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2023-24,Bolivia,Export,30400.45,36.82,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2023-24,Bolivia,Import,480310.56,583.44,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2023-24,Bolivia,Trade Balance,-449910.11,-546.62,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2023-24,Bosnia And Herzegovina,Export,13402,16.22,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2023-24,Bosnia And Herzegovina,Import,1664.48,2.01,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2023-24,Bosnia And Herzegovina,Trade Balance,11737.52,14.21,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2023-24,Botswana,Export,37035.41,44.82,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2023-24,Botswana,Import,153889.26,187.01,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2023-24,Botswana,Trade Balance,-116853.85,-142.19,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
