date,category,value,units,notes
16/11/23,Total Positive Cases,45001510,value in absolute number,
16/11/23,Number of Active cases,158,value in absolute number,
16/11/23,Total Recovered,44468057,value in absolute number,
16/11/23,Total Deaths,533295,value in absolute number,
15/11/23,Total Positive Cases,45001492,value in absolute number,
15/11/23,Number of Active cases,152,value in absolute number,
15/11/23,Total Recovered,44468045,value in absolute number,
15/11/23,Total Deaths,533295,value in absolute number,
14/11/23,Total Positive Cases,45001482,value in absolute number,
14/11/23,Number of Active cases,155,value in absolute number,
14/11/23,Total Recovered,44468032,value in absolute number,
14/11/23,Total Deaths,533295,value in absolute number,
13/11/23,Total Positive Cases,45001464,value in absolute number,
13/11/23,Number of Active cases,148,value in absolute number,
13/11/23,Total Recovered,44468021,value in absolute number,
13/11/23,Total Deaths,533295,value in absolute number,
12/11/23,Total Positive Cases,45001456,value in absolute number,
12/11/23,Number of Active cases,147,value in absolute number,
12/11/23,Total Recovered,44468014,value in absolute number,
12/11/23,Total Deaths,533295,value in absolute number,
11/11/23,Total Positive Cases,45001439,value in absolute number,
11/11/23,Number of Active cases,139,value in absolute number,
11/11/23,Total Recovered,44468005,value in absolute number,
11/11/23,Total Deaths,533295,value in absolute number,
10/11/23,Total Positive Cases,45001433,value in absolute number,
10/11/23,Number of Active cases,152,value in absolute number,
10/11/23,Total Recovered,44467986,value in absolute number,
10/11/23,Total Deaths,533295,value in absolute number,
09/11/23,Total Positive Cases,45001418,value in absolute number,
09/11/23,Number of Active cases,177,value in absolute number,
09/11/23,Total Recovered,44467947,value in absolute number,
09/11/23,Total Deaths,533294,value in absolute number,
08/11/23,Total Positive Cases,45001407,value in absolute number,
08/11/23,Number of Active cases,176,value in absolute number,
08/11/23,Total Recovered,44467937,value in absolute number,
08/11/23,Total Deaths,533294,value in absolute number,
07/11/23,Total Positive Cases,45001397,value in absolute number,
07/11/23,Number of Active cases,180,value in absolute number,
07/11/23,Total Recovered,44467923,value in absolute number,
07/11/23,Total Deaths,533294,value in absolute number,
06/11/23,Total Positive Cases,45001392,value in absolute number,
06/11/23,Number of Active cases,194,value in absolute number,
06/11/23,Total Recovered,44467904,value in absolute number,
06/11/23,Total Deaths,533294,value in absolute number,
05/11/23,Total Positive Cases,45001384,value in absolute number,
05/11/23,Number of Active cases,213,value in absolute number,
05/11/23,Total Recovered,44467877,value in absolute number,
05/11/23,Total Deaths,533294,value in absolute number,
04/11/23,Total Positive Cases,45001376,value in absolute number,
04/11/23,Number of Active cases,230,value in absolute number,
04/11/23,Total Recovered,44467852,value in absolute number,
04/11/23,Total Deaths,533294,value in absolute number,
03/11/23,Total Positive Cases,45001362,value in absolute number,
03/11/23,Number of Active cases,242,value in absolute number,
03/11/23,Total Recovered,44467826,value in absolute number,
03/11/23,Total Deaths,533294,value in absolute number,
02/11/23,Total Positive Cases,45001342,value in absolute number,
02/11/23,Number of Active cases,247,value in absolute number,
02/11/23,Total Recovered,44467802,value in absolute number,
02/11/23,Total Deaths,533293,value in absolute number,
01/11/23,Total Positive Cases,45001328,value in absolute number,
01/11/23,Number of Active cases,252,value in absolute number,
01/11/23,Total Recovered,44467783,value in absolute number,
01/11/23,Total Deaths,533293,value in absolute number,
31/10/23,Total Positive Cases,45001290,value in absolute number,
31/10/23,Number of Active cases,246,value in absolute number,
31/10/23,Total Recovered,44467751,value in absolute number,
31/10/23,Total Deaths,533293,value in absolute number,
30/10/23,Total Positive Cases,45001268,value in absolute number,
30/10/23,Number of Active cases,256,value in absolute number,
30/10/23,Total Recovered,44467719,value in absolute number,
30/10/23,Total Deaths,533293,value in absolute number,
29/10/23,Total Positive Cases,45001245,value in absolute number,
29/10/23,Number of Active cases,278,value in absolute number,
29/10/23,Total Recovered,44467674,value in absolute number,
29/10/23,Total Deaths,533293,value in absolute number,
28/10/23,Total Positive Cases,45001211,value in absolute number,
28/10/23,Number of Active cases,274,value in absolute number,
28/10/23,Total Recovered,44467644,value in absolute number,
28/10/23,Total Deaths,533293,value in absolute number,
27/10/23,Total Positive Cases,45001176,value in absolute number,
27/10/23,Number of Active cases,257,value in absolute number,
27/10/23,Total Recovered,44467626,value in absolute number,
27/10/23,Total Deaths,533293,value in absolute number,
26/10/23,Total Positive Cases,45001150,value in absolute number,
26/10/23,Number of Active cases,249,value in absolute number,
26/10/23,Total Recovered,44467608,value in absolute number,
26/10/23,Total Deaths,533293,value in absolute number,
25/10/23,Total Positive Cases,45001126,value in absolute number,
25/10/23,Number of Active cases,259,value in absolute number,
25/10/23,Total Recovered,44467574,value in absolute number,
25/10/23,Total Deaths,533293,value in absolute number,
24/10/23,Total Positive Cases,45001075,value in absolute number,
24/10/23,Number of Active cases,231,value in absolute number,
24/10/23,Total Recovered,44467551,value in absolute number,
24/10/23,Total Deaths,533293,value in absolute number,
23/10/23,Total Positive Cases,45001061,value in absolute number,
23/10/23,Number of Active cases,245,value in absolute number,
23/10/23,Total Recovered,44467525,value in absolute number,
23/10/23,Total Deaths,533291,value in absolute number,
22/10/23,Total Positive Cases,45001052,value in absolute number,
22/10/23,Number of Active cases,265,value in absolute number,
22/10/23,Total Recovered,44467496,value in absolute number,
