date,category,operated_by,payment_mode,payment_location,volume,value,unit,note
19-11-2023,Settlement Systems,CCIL Operated,Rupee Derivatives,,,,"value in INR Crores, volume in Lakhs",payment_mode: for all deals matched during the day
19-11-2023,Payment Transactions,NPCI Operated,CTS,,,,"value in INR Crores, volume in Lakhs",
19-11-2023,Cash Withdrawal,NPCI Operated,AePS,,31.6,753.11,"value in INR Crores, volume in Lakhs",
19-11-2023,Cash Withdrawal,NPCI Operated,NFS,,90.0,3288.43,"value in INR Crores, volume in Lakhs",
19-11-2023,Payment Transactions,Card Network Operated,Credit Card,At PoS,26.1156,864.893015,"value in INR Crores, volume in Lakhs",
19-11-2023,Payment Transactions,Card Network Operated,Credit Card,At e-Commerce,27.74393,1263.9854321,"value in INR Crores, volume in Lakhs",
19-11-2023,Payment Transactions,Card Network Operated,Debit Card,At PoS,26.91326,624.9133143,"value in INR Crores, volume in Lakhs",
19-11-2023,Payment Transactions,Card Network Operated,Prepaid Payment Instruments (PPIs) Card,At PoS,0.8440300000000001,14.1094183,"value in INR Crores, volume in Lakhs",
19-11-2023,Payment Transactions,Card Network Operated,Prepaid Payment Instruments (PPIs) Card,At e-Commerce,1.06163,45.4731081,"value in INR Crores, volume in Lakhs",
19-11-2023,Payment Transactions,NPCI Operated,AePS,,0.7,17.83,"value in INR Crores, volume in Lakhs",
19-11-2023,Payment Transactions,NPCI Operated,BBPS,,32.15,495.6,"value in INR Crores, volume in Lakhs",
19-11-2023,Payment Transactions,Card Network Operated,Debit Card,At e-Commerce,11.13965,222.49626750000004,"value in INR Crores, volume in Lakhs",
19-11-2023,Payment Transactions,NPCI Operated,IMPS,,119.33,9067.77,"value in INR Crores, volume in Lakhs",
19-11-2023,Payment Transactions,NPCI Operated,NACH Debit,,3.85,387.3,"value in INR Crores, volume in Lakhs",
19-11-2023,Payment Transactions,NPCI Operated,NETC,,116.66,182.97,"value in INR Crores, volume in Lakhs",
19-11-2023,Payment Transactions,NPCI Operated,UPI,,3548.45,38799.93,"value in INR Crores, volume in Lakhs",
19-11-2023,Payment Transactions,RBI Operated,NEFT,,107.92509,14213.86993624,"value in INR Crores, volume in Lakhs",
19-11-2023,Payment Transactions,RBI Operated,RTGS,,0.80742,7481.576818538,"value in INR Crores, volume in Lakhs",
