fiscal_year,state,district,survey,headcount_ratio,intensity,mpi,unit,note
2019-21,Andhra Pradesh,Anantapur,NFHS-5,6.74,40.56,0.027,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Andhra Pradesh,Chittoor,NFHS-5,5.66,39.2,0.022,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Andhra Pradesh,East Godavari,NFHS-5,6.13,43.65,0.027,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Andhra Pradesh,Guntur,NFHS-5,4.36,37.58,0.016,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Andhra Pradesh,Krishna,NFHS-5,4.38,38.22,0.017,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Andhra Pradesh,Kurnool,NFHS-5,12.84,42.32,0.054,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Andhra Pradesh,Prakasam,NFHS-5,6.28,43.6,0.027,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Andhra Pradesh,SPSR Nellore,NFHS-5,5.41,43.06,0.023,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Andhra Pradesh,Srikakulam,NFHS-5,5.2,41.83,0.022,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Andhra Pradesh,Visakhapatanam,NFHS-5,7.6,40.81,0.031,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Andhra Pradesh,Vizianagaram,NFHS-5,8.66,40.2,0.035,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Andhra Pradesh,West Godavari,NFHS-5,2.42,42.56,0.01,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Andhra Pradesh,Y.S.R. (Kadapa),NFHS-5,3.34,38.51,0.013,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Assam,Baksa,NFHS-5,15.6,41.1,0.064,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Assam,Barpeta,NFHS-5,19.12,43.38,0.083,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Assam,Biswanath,NFHS-5,22.09,46.03,0.102,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Assam,Bongaigaon,NFHS-5,17.39,42.99,0.075,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Assam,Cachar,NFHS-5,30.58,45.63,0.14,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
