fiscal_year,year,month,phase,sale_period,state,city,election,transaction_type,bond_type,total_bonds,value_of_bonds,units,note
2023-24,2023,October,28,4th Ocotber to 13th October 2023,Odisha,Bhubaneshwar,No Elections,Redeemed/ Encashed,One Crore Bond,5,50000000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2023-24,2023,October,28,4th Ocotber to 13th October 2023,Sikkim,Gangtok,No Elections,Redeemed/ Encashed,One Crore Bond,17,170000000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2023-24,2023,October,28,4th Ocotber to 13th October 2023,Telangana,Hyderabad,Assembly Elections,Redeemed/ Encashed,One Crore Bond,80,800000000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2023-24,2023,October,28,4th Ocotber to 13th October 2023,West Bengal,Kolkata,No Elections,Redeemed/ Encashed,One Crore Bond,151,1510000000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2023-24,2023,October,28,4th Ocotber to 13th October 2023,Maharashtra,Mumbai,No Elections,Redeemed/ Encashed,One Crore Bond,38,380000000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2023-24,2023,October,28,4th Ocotber to 13th October 2023,Delhi,New Delhi,No Elections,Redeemed/ Encashed,One Crore Bond,775,7750000000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2023-24,2023,October,28,4th Ocotber to 13th October 2023,Bihar,Patna,No Elections,Redeemed/ Encashed,One Crore Bond,24,240000000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2023-24,2023,October,28,4th Ocotber to 13th October 2023,Jharkhand,Ranchi,No Elections,Redeemed/ Encashed,One Crore Bond,5,50000000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2023-24,2023,October,28,4th Ocotber to 13th October 2023,Telangana,Hyderabad,Assembly Elections,Redeemed/ Encashed,One Lakh Bond,73,7300000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2023-24,2023,October,28,4th Ocotber to 13th October 2023,West Bengal,Kolkata,No Elections,Redeemed/ Encashed,One Lakh Bond,58,5800000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2023-24,2023,October,28,4th Ocotber to 13th October 2023,Maharashtra,Mumbai,No Elections,Redeemed/ Encashed,One Lakh Bond,27,2700000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2023-24,2023,October,28,4th Ocotber to 13th October 2023,Delhi,New Delhi,No Elections,Redeemed/ Encashed,One Lakh Bond,134,13400000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2023-24,2023,October,28,4th Ocotber to 13th October 2023,Sikkim,Patna,No Elections,Redeemed/ Encashed,One Lakh Bond,10,1000000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2023-24,2023,October,28,4th Ocotber to 13th October 2023,West Bengal,Kolkata,No Elections,Redeemed/ Encashed,One Thousand Bond,8,8000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2023-24,2023,October,28,4th Ocotber to 13th October 2023,Maharashtra,Mumbai,No Elections,Redeemed/ Encashed,One Thousand Bond,44,44000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2023-24,2023,October,28,4th Ocotber to 13th October 2023,Sikkim,Gangtok,No Elections,Redeemed/ Encashed,Ten Lakh Bond,10,10000000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2023-24,2023,October,28,4th Ocotber to 13th October 2023,Telangana,Hyderabad,Assembly Elections,Redeemed/ Encashed,Ten Lakh Bond,29,29000000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2023-24,2023,October,28,4th Ocotber to 13th October 2023,West Bengal,Kolkata,No Elections,Redeemed/ Encashed,Ten Lakh Bond,197,197000000,"total_bonds in absolute number, value_of_bonds in indian rupees",
