year,host,worldcup_name,match_type,match_period,match_date,venue,venue_city,first_batting_team,second_batting_team,first_batting_team_score,second_batting_team_score,match_winner,winning_margin,winning_margin_type,winning_condition,season_winner
2023,India,ICC Cricket World Cup,League,Day Night,02-Nov-23,"Wankhade Stadium, Mumbai",Mumbai,India,Srilanka,357/8,55,India,302,Runs,,Australia
2023,India,ICC Cricket World Cup,League,Day Night,05-Nov-23,"Eden Gardens, Kolkata",Kolkata,India,South Africa,326/5,83,India,243,Runs,,Australia
2023,India,ICC Cricket World Cup,League,Day Night,25-Oct-23,"Arun Jaitley Stadium, Delhi",Delhi,Australia,Netherlands,399/8,90,Australia,309,Runs,,Australia
2023,India,ICC Cricket World Cup,League,Day Night,29-Oct-23,"Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Lucknow,India,England,229/9,129,India,100,Runs,,Australia
2023,India,ICC Cricket World Cup,League,Day Night,18-Oct-23,"Chepauk Stadiym, Chennai",Chennai,New Zealand,Afghanistan,288/6,139,New Zealand,149,Runs,,Australia
2023,India,ICC Cricket World Cup,League,Day Night,28-Oct-23,"Eden Gardens, Kolkata",Kolkata,Netherlands,Bangladesh,229,142,Netherlands,87,Runs,,Australia
2023,India,ICC Cricket World Cup,League,Day Night,01-Nov-23,Maharashtra Cricket Association Stadium,Pune,South Africa,New Zealand,357/4,167,South Africa,190,Runs,,Australia
2023,India,ICC Cricket World Cup,League,Day Night,21-Oct-23,"Wankhade Stadium, Mumbai",Mumbai,South Africa,England,399/7,170,South Africa,229,Runs,,Australia
2023,India,ICC Cricket World Cup,League,Day Night,12-Oct-23,"Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Lucknow,South Africa,Australia,311/7,177,South Africa,134,Runs,,Australia
2023,India,ICC Cricket World Cup,League,Day Night,08-Nov-23,Maharashtra Cricket Association Stadium,Pune,England,Netherlands,339/9,179,England,160,Runs,,Australia
2023,India,ICC Cricket World Cup,League,Day Night,06-Oct-23,"Rajiv Gandhi International Cricket Stadium, Hyderabad",Hyderabad,Pakistan,Netherlands,286,205,Pakistan,81,Runs,,Australia
2023,India,ICC Cricket World Cup,League,Day Night,17-Oct-23,"Himachal Cricket Association Stadium, Dharamsala",Dharamsala,Netherlands,South Africa,245/8,207,Netherlands,38,Runs,,Australia
2023,India,ICC Cricket World Cup,League,Day Night,15-Oct-23,"Narendra Modi Stadium, Ahmedabad",Ahmedabad,Afghanistan,England,284,215,Afghanistan,69,Runs,,Australia
2023,India,ICC Cricket World Cup,League,Day Night,09-Oct-23,"Rajiv Gandhi International Cricket Stadium, Hyderabad",Hyderabad,New Zealand,Netherlands,322/7,223,New Zealand,99,Runs,,Australia
2023,India,ICC Cricket World Cup,League,Day,10-Oct-23,"Himachal Cricket Association Stadium, Dharamsala",Dharamsala,England,Bangladesh,364/9,227,England,137,Runs,,Australia
2023,India,ICC Cricket World Cup,League,Day Night,24-Oct-23,"Wankhade Stadium, Mumbai",Mumbai,South Africa,Bangladesh,382/5,233,South Africa,149,Runs,,Australia
2023,India,ICC Cricket World Cup,League,Day Night,11-Nov-23,"Eden Gardens, Kolkata",Kolkata,England,Pakistan,337/9,244,England,93,Runs,,Australia
2023,India,ICC Cricket World Cup,League,Day Night,12-Nov-23,"Chinnaswamy Stadium, Banglore",Banglore,India,Netherlands,410/4,250,India,160,Runs,,Australia
2023,India,ICC Cricket World Cup,League,Day Night,04-Nov-23,"Narendra Modi Stadium, Ahmedabad",Ahmedabad,Australia,England,286,253,Australia,33,Runs,,Australia
2023,India,ICC Cricket World Cup,League,Day Night,20-Oct-23,"Chinnaswamy Stadium, Banglore",Banglore,Australia,Pakistan,367/9,305,Australia,62,Runs,,Australia
2023,India,ICC Cricket World Cup,League,Day Night,07-Oct-23,"Arun Jaitley Stadium, Delhi",Delhi,South Africa,Srilanka,428/5,326,South Africa,102,Runs,,Australia
