fiscal_year,year,month,state,category,tax_type,amount,unit,notes
2023-24,2023,August,Other Territory,GST collected from State,CESS,0.0,amount in rupees crores,state: Represents territories other than States/UTs
2023-24,2023,August,Chhattisgarh,GST collected from State,SGST,709.86,amount in rupees crores,
2023-24,2023,August,Jharkhand,GST collected from State,SGST,801.7,amount in rupees crores,
2023-24,2023,August,West Bengal,GST collected from State,SGST,1797.06,amount in rupees crores,
2023-24,2023,August,Assam,GST collected from State,SGST,440.19,amount in rupees crores,
2023-24,2023,August,Meghalaya,GST collected from State,SGST,49.95,amount in rupees crores,
2023-24,2023,August,Tripura,GST collected from State,SGST,35.84,amount in rupees crores,
2023-24,2023,August,Mizoram,GST collected from State,SGST,17.28,amount in rupees crores,
2023-24,2023,August,Manipur,GST collected from State,SGST,20.64,amount in rupees crores,
2023-24,2023,August,Nagaland,GST collected from State,SGST,22.62,amount in rupees crores,
2023-24,2023,August,Arunachal Pradesh,GST collected from State,SGST,39.7,amount in rupees crores,
2023-24,2023,August,Sikkim,GST collected from State,SGST,41.79,amount in rupees crores,
2023-24,2023,August,Bihar,GST collected from State,SGST,653.58,amount in rupees crores,
2023-24,2023,August,Uttar Pradesh,GST collected from State,SGST,2378.42,amount in rupees crores,
2023-24,2023,August,Rajasthan,GST collected from State,SGST,1264.81,amount in rupees crores,
2023-24,2023,August,Delhi,GST collected from State,SGST,1113.4,amount in rupees crores,
2023-24,2023,August,Haryana,GST collected from State,SGST,1584.52,amount in rupees crores,
2023-24,2023,August,Chandigarh,GST collected from State,SGST,51.46,amount in rupees crores,
2023-24,2023,August,Punjab,GST collected from State,SGST,602.96,amount in rupees crores,
2023-24,2023,August,Odisha,GST collected from State,SGST,1332.99,amount in rupees crores,
2023-24,2023,August,Madhya Pradesh,GST collected from State,SGST,978.04,amount in rupees crores,
2023-24,2023,August,Chandigarh,GST collected from State,IGST,101.76,amount in rupees crores,
2023-24,2023,August,Gujarat,GST collected from State,SGST,3210.74,amount in rupees crores,
2023-24,2023,August,Himachal Pradesh,GST collected from State,IGST,409.73,amount in rupees crores,
2023-24,2023,August,Jammu and Kashmir,GST collected from State,IGST,146.06,amount in rupees crores,
2023-24,2023,August,Central Board of Indirect Taxes and Customs (CBIC),GST collected from State,SGST,0.0,amount in rupees crores,"state: State Code 99 reprents the Tax Payersof OIDAR (Online Information Database Access and Retrieval services) such as NETFLEX, AMAZON PRIME, ETC"
2023-24,2023,August,Other Territory,GST collected from State,SGST,13.34,amount in rupees crores,state: Represents territories other than States/UTs
2023-24,2023,August,Ladakh,GST collected from State,SGST,14.35,amount in rupees crores,
2023-24,2023,August,Andhra Pradesh,GST collected from State,SGST,1122.3,amount in rupees crores,
2023-24,2023,August,Telangana,GST collected from State,SGST,1439.46,amount in rupees crores,
2023-24,2023,August,Andaman and Nicobar Islands,GST collected from State,SGST,10.18,amount in rupees crores,
2023-24,2023,August,Puducherry,GST collected from State,SGST,43.35,amount in rupees crores,
2023-24,2023,August,Tamil Nadu,GST collected from State,SGST,3300.84,amount in rupees crores,
2023-24,2023,August,Kerala,GST collected from State,SGST,1035.4,amount in rupees crores,
2023-24,2023,August,Lakshadweep,GST collected from State,SGST,0.45,amount in rupees crores,
2023-24,2023,August,Goa,GST collected from State,SGST,173.71,amount in rupees crores,
2023-24,2023,August,Karnataka,GST collected from State,SGST,3028.57,amount in rupees crores,
2023-24,2023,August,Maharashtra,GST collected from State,SGST,7629.5,amount in rupees crores,
2023-24,2023,August,Dadra and Nagar Haveli,GST collected from State,SGST,50.72,amount in rupees crores,
2023-24,2023,August,Daman and Diu,GST collected from State,SGST,0.03,amount in rupees crores,
2023-24,2023,August,Himachal Pradesh,GST collected from State,SGST,181.75,amount in rupees crores,
2023-24,2023,August,Jammu and Kashmir,GST collected from State,SGST,220.48,amount in rupees crores,
